Lower Super Output Area,Names,Age 16-29,No cars or vans (%),Public Transport Accessibility Levels,Non-English speaking(%),Income estimate,One person household(%),Private rented (%),No usual residents (%),High qualification Level (%)
E01004542,Wandsworth 021D,328,28.8,4.8,2.9,85491,23.8,23.9,3.4,67.2
E01004544,Wandsworth 021E,287,35.3,6,6.3,83527,28.2,24.3,3.7,65.4
E01004628,Wandsworth 022A,555,36.8,2.3,16,50754,31.7,32.1,2.5,49.8
E01004630,Wandsworth 022B,421,53.9,3.1,18.4,36248,27.5,22.4,2.4,29.6
E01004631,Wandsworth 022C,368,43.9,3,22.1,43524,38.1,31.9,5.9,39.7
E01004633,Wandsworth 022D,484,56.7,3.1,22,38226,26.6,30.5,0.6,29.8
E01004569,Wandsworth 023A,1009,47.6,3.5,16,42328,28.5,30.4,2.9,30.1
E01004570,Wandsworth 023B,665,61.6,3.3,21.6,28782,35.8,25.2,0.8,20.6
E01004571,Wandsworth 023C,526,54.5,3.5,22.3,32203,33.3,25.5,1.7,25.9
E01004573,Wandsworth 023D,401,38.4,2.7,20.3,42341,33.8,24.2,2.9,30.9
E01004495,Wandsworth 024A,456,44.6,4.7,15.1,40511,22.9,24.9,0.6,38.8
E01004496,Wandsworth 024B,645,44.5,5.1,8.1,61674,32.1,45,3.1,63.8
E01004497,Wandsworth 024C,267,28.3,4.8,4.3,53591,22.7,18.1,2.5,45.7
E01004622,Wandsworth 024D,578,41.3,2,7.9,51489,38.6,27.6,2.7,30.8
E01004624,Wandsworth 024E,406,32.7,2.4,5.9,61021,22.4,21.6,1.9,51.8
E01004593,Wandsworth 025A,410,42.3,3.1,12.3,59182,35.3,39.2,2.5,58
E01004595,Wandsworth 025B,394,37.1,3.1,9.3,64685,31.7,37.1,3.2,59.6
E01004597,Wandsworth 025C,302,37.9,3,9.9,69296,31.5,21.7,1.6,58.7
E01004598,Wandsworth 025D,458,38.1,4.4,5.9,71004,30.4,30.9,2,68.8
E01004599,Wandsworth 025E,163,21.7,3,3.5,88554,22.1,17.6,4.3,66.4
E01004473,Wandsworth 026A,497,44.4,5.9,7.9,69076,29.2,33.1,2.7,65.2
E01004475,Wandsworth 026B,384,47.4,6,5.1,61947,29.1,35.5,5.3,65
E01004480,Wandsworth 026C,609,42.3,4.5,5.2,79526,24.3,36.6,2.7,73.9
E01004483,Wandsworth 026D,665,41.5,2.3,12.1,58871,32.9,46,2.3,64.9
E01004484,Wandsworth 026E,544,47.5,5.3,7.1,59584,29.3,38.2,4.4,64.1
E01004486,Wandsworth 026F,456,51.7,2.6,7.8,58973,42.2,41.2,5.1,64.7
E01004543,Wandsworth 027A,425,31.9,5.1,3.1,84946,25.9,32.5,5.3,70.3
E01004545,Wandsworth 027B,583,62,6.6,9.3,63221,45.4,51.6,5.3,74
E01004546,Wandsworth 027C,400,39.7,5.9,5,78519,26.1,32.7,2.1,69.2
E01004549,Wandsworth 027D,374,41.8,4.4,9.2,62584,34.5,29.2,5,53.5
E01004625,Wandsworth 027E,187,8.3,2.1,1.5,104445,18.1,9.6,3.1,61.6
E01004626,Wandsworth 027F,361,29,3,7.7,79079,31.4,29.7,4.5,60.9
E01004632,Wandsworth 028A,335,31.9,3.1,11.5,60569,25.3,26.5,2.8,51.7
E01004634,Wandsworth 028B,365,37.2,2.5,12.5,53235,38,35.3,4.7,52.8
E01004635,Wandsworth 028C,372,34.6,3,16.2,51744,31.8,35.6,2.1,51.5
E01004636,Wandsworth 028D,337,30.8,2.2,14.9,53763,31.8,31.5,2.7,47.5
