Lower Super Output Area,Names,Age 16-29,No cars or vans (%),Public Transport Accessibility Levels,Non-English speaking(%),Income estimate,One person household(%),Private rented (%),No usual residents (%),High qualification Level (%)
E01000907,Camden 001A,257,61.2,4.6,11.5,39985,33,13.7,0.5,44.2
E01000908,Camden 001B,240,59.5,2.9,8.9,42394,50.8,14,4.8,50.4
E01000909,Camden 001C,291,36.8,3.3,4.7,77370,30.1,18.8,2.4,61.9
E01000912,Camden 001D,356,60.6,4.6,7.7,41737,38.6,15,1.4,47.2
E01000913,Camden 001E,220,22.3,2.8,2.6,96649,29.1,19.4,10.3,65.2
E01000893,Camden 002A,236,43.8,3.2,8,84878,39.3,34.1,7.6,72.6
E01000894,Camden 002B,168,38.6,3.9,9.2,96271,33.8,35.5,7.2,71.3
E01000895,Camden 002C,258,55.3,3.9,13.6,70925,47.9,37,6.1,62.1
E01000896,Camden 002D,228,39.7,4.4,9.7,93108,34.1,35.1,5.7,73.6
E01000899,Camden 002E,176,25.9,3,6.4,100810,32.8,24.5,8.3,62.6
E01000910,Camden 003A,263,38.1,4.7,3.7,85968,29.4,21.4,3.9,66.3
E01000911,Camden 003B,250,50.4,4.9,9.4,49166,33.2,15.8,2.2,53.3
E01000921,Camden 003C,580,70.7,5.9,12.8,47076,40.3,48.8,3.1,61
E01000923,Camden 003D,325,53.8,5.6,5.8,59956,40.5,17.7,1.4,57.9
E01000928,Camden 003E,326,55.9,5.7,10.4,47154,34.3,19.6,1.3,50.6
E01000878,Camden 004A,578,34.2,4.3,13.5,74432,34.2,29.3,6.8,45.6
E01000879,Camden 004B,334,45.8,4.9,12.8,85643,39.4,40,5.6,60
E01000880,Camden 004C,187,35.6,5.8,18.7,92479,30.8,41.7,7.7,68.1
E01000884,Camden 004D,217,26.2,2.7,13.5,94537,31.4,30.8,8.3,65.3
E01000885,Camden 004E,184,19.8,2.6,12.3,103688,29.1,27.4,8.6,56.6
E01000871,Camden 005A,341,36.7,3.9,12.5,66218,29,26.7,6.8,57.8
E01000872,Camden 005B,557,65.1,5.1,23.3,42585,41.8,58.6,5.3,51.6
E01000873,Camden 005C,396,44.8,3.8,10.6,71457,33.1,33.4,2.9,65.5
E01000874,Camden 005D,323,45.9,5.9,14.1,76041,32.2,38.8,4.1,67.5
E01000877,Camden 005E,393,48.8,5,16.8,72076,37.7,46.8,5.5,64.2
E01000886,Camden 006A,251,42.2,4,7.1,66553,30.9,25.7,4.9,62.1
E01000887,Camden 006B,327,55.8,4.8,10.7,59084,38,35.5,3.4,60.9
E01000888,Camden 006C,296,53.5,4.2,9,57570,36.2,27,2.7,59.1
E01000892,Camden 006D,321,51.8,4.8,12,57900,37.4,28.4,3.1,56.6
E01000903,Camden 006E,312,52,3.8,10.3,58061,43.9,24.5,3.9,56.7
E01000889,Camden 007A,395,64.5,3.6,12.8,33676,34.1,10,0.8,28.5
E01000890,Camden 007B,316,71.1,4.1,17.5,26548,46.5,7,1.2,24.8
E01000891,Camden 007C,419,75.6,3.2,18.9,26446,41.5,16.1,1.5,27.5
E01000901,Camden 007D,567,68.7,4.6,18.1,30659,32.4,13.4,1.5,34.4
E01000922,Camden 007E,524,65.5,5.9,10.1,40839,40.7,26.5,2.2,44.2
E01000927,Camden 007F,468,54.6,6.7,10.6,57153,27.9,27.2,2.1,59.2
E01000881,Camden 008A,373,53.2,6.4,18.4,64566,39.1,54.1,7.7,62.3
E01000882,Camden 008B,254,45.5,5.4,15.8,87519,38.6,45.3,3.8,72.2
E01000883,Camden 008C,333,61.4,6.8,25.7,67080,40.4,54.2,5.1,64.2
E01000897,Camden 008D,186,37.2,4.6,13.5,96505,33.7,35,6.2,73.5
E01000898,Camden 008E,363,66,5,19.8,58510,49.2,31.6,3.3,63.5
E01000866,Camden 009A,530,62.2,6.3,13.2,44223,39.3,22,1.7,50.4
E01000870,Camden 009B,433,59,5.7,8.9,41727,40.8,19.6,2,49
E01000924,Camden 009C,423,60,5,11.7,53729,38.6,32.8,2.8,63
E01000925,Camden 009D,358,70.4,5.3,22.3,32909,39.1,16.1,1.4,34.3
E01000926,Camden 009E,515,63.9,5,18.8,43634,29.2,39,1.7,61
E01000969,Camden 010A,536,53.2,6.2,14.4,72582,35.7,51.9,3.7,71.4
E01000970,Camden 010B,462,61.5,5.8,13.1,64716,48.9,53.4,3.6,72.2
E01000971,Camden 010C,301,46.1,4.9,11.2,74044,34.2,37.4,2.8,64.5
E01000972,Camden 010D,528,66.8,6.8,21.7,39908,43.6,35.6,2.5,48.3
E01000973,Camden 010E,622,62.9,6.2,15.9,44466,38.1,46.6,5.4,56.8
E01000842,Camden 011A,240,48.8,4.1,11.6,82204,47,36.6,6.1,69.8
E01000844,Camden 011B,300,53.3,4.4,17.1,80968,41.6,49.1,4.8,70.9
E01000848,Camden 011C,219,49.2,4.3,15.5,79743,43.2,38.8,6.1,67.4
E01000849,Camden 011D,344,63.6,4.7,13.2,67381,54.1,47.2,5.2,68.7
E01000900,Camden 012A,448,65.3,4.3,10.8,41250,33.8,24,1.7,42.4
E01000902,Camden 012B,340,67.5,3.2,17.1,32532,36.6,17.3,2.6,35.8
E01000904,Camden 012C,568,65.4,6.7,13.8,38623,33.7,24,2.7,40.8
E01000905,Camden 012D,462,71.6,5,20.6,27854,36.9,13.4,1.6,27.1
E01000906,Camden 012E,364,53,4.7,9.8,64618,40.5,35.7,5.7,67.2
E01000875,Camden 013A,539,66.4,4.9,21.7,43936,44,52.2,4,56.1
E01000876,Camden 013B,442,64.9,4.6,21.9,37177,42.8,29.1,1.1,44.4
E01000931,Camden 013C,489,70.1,5.7,24.5,34059,40.9,37,2.2,37.4
E01000932,Camden 013D,552,65.3,6.1,13.9,49291,42.4,37.7,2.4,61
E01000974,Camden 013E,533,64.9,5.8,15.3,39668,43.6,37.3,1.3,45.8
E01000843,Camden 014A,339,57.4,4,17,58871,41.8,38.1,6,63.2
E01000845,Camden 014B,323,47.9,3.7,14.6,70494,46.5,38.2,5.1,63.9
E01000846,Camden 014C,261,53.9,3.4,21.3,45004,35.7,14.1,3.9,42.4
E01000847,Camden 014D,324,48,4.6,20.5,46667,34.4,25.6,5.7,46.1
E01000864,Camden 015A,472,59.3,3.2,11.6,51526,37,34.7,4.4,55.5
E01000865,Camden 015B,753,55.9,4.6,8.9,63376,40.4,27.7,5.5,45.5
E01000867,Camden 015C,507,72.4,6.9,22.8,35460,35.4,33.8,2.3,41.8
E01000868,Camden 015D,276,63.7,2.4,27.7,32466,37.5,12.7,1.2,33.7
E01000869,Camden 015E,662,61.9,4.3,12.8,45709,37.6,39.1,6.6,54.7
E01000962,Camden 016A,403,52.3,6.7,15.7,76688,31.7,47.7,3.6,71.9
E01000964,Camden 016B,306,52.5,7,13.3,60531,36.5,33.4,1.7,60.3
E01000965,Camden 016C,418,54.8,6.2,18.7,58749,41,38.9,2.7,65
E01000966,Camden 016D,325,40.3,5.6,13.5,84620,32.9,42.1,4,74.1
E01000968,Camden 016E,410,55.8,6.3,13.4,60954,41.3,41.6,3.2,67.4
E01000960,Camden 017A,415,60.8,7,22.9,54830,38.2,45.9,2.1,58.1
E01000961,Camden 017B,341,55.4,6.8,26.5,40199,30.2,27.5,2.5,43.8
E01000963,Camden 017C,403,46.3,6.3,32.7,70017,36.5,47.7,15.4,54.1
E01000967,Camden 017D,211,34.2,3.3,11.5,80150,36.3,30.2,10.3,56
E01000857,Camden 018A,224,45.8,3.5,9.5,63234,43.9,30.8,5.4,58.6
E01000858,Camden 018B,556,66.2,5.9,17.9,36106,37,22.5,3.4,35.5
E01000859,Camden 018C,216,44.1,3.6,8.7,80882,47.1,38.2,9.9,69
E01000860,Camden 018D,151,65.2,3,14.2,59261,64.6,24.1,7.1,58.6
E01000862,Camden 018E,292,44,5.2,10.9,82666,35.9,32.8,11.4,68.9
E01000856,Camden 019A,472,66.9,7.2,19.4,35793,32.6,28.8,2,38.4
E01000861,Camden 019B,573,73,7.4,13.3,39869,43.2,39.4,5.1,48.3
E01000957,Camden 019C,506,63.8,4.6,23.5,37876,34.4,32.4,2,41.8
E01000958,Camden 019D,816,72.7,7,17.1,35910,28.4,29,2,37.7
E01000959,Camden 019E,541,74.4,7.3,22.8,29599,37.8,18.3,0.9,26.1
E01000929,Camden 020A,324,63.8,4.8,26.6,34948,35.8,20,2.7,31.4
E01000930,Camden 020B,430,77.8,6.7,27,31859,58.4,35.7,11.2,39.9
E01000933,Camden 020C,451,58.3,6.7,14.6,49301,41.4,45.8,4.1,58.3
E01000934,Camden 020D,336,70.4,4.4,27,33141,46.2,27.3,2.5,36.5
E01000935,Camden 020E,254,69.2,3.8,27.1,33423,38.6,17.8,0.8,35.1
E01000863,Camden 021A,526,72.9,7.2,16.9,53986,38.2,52.9,7.7,55.4
E01000946,Camden 021B,401,60,6.4,20,51152,43.6,33.3,16.2,49.8
E01000947,Camden 021C,695,74.4,7.1,19.3,39239,39.5,48.3,7.8,49.4
E01000948,Camden 021D,390,62.6,6.5,14.5,53897,42.8,30.7,6.9,51.4
E01000952,Camden 022A,568,69.9,7.4,21.2,31795,30.5,21.9,1.5,26.7
E01000953,Camden 022B,468,73.2,7.2,24.4,30495,42.2,15.4,1.3,25.1
E01000954,Camden 022C,383,70.4,7.4,27.1,28568,31.5,10,1.4,18.3
E01000955,Camden 022D,426,78.2,7.9,21,29889,44.6,8.5,1.2,22.5
E01000956,Camden 022E,478,75.3,8,31.3,33709,36.3,27,5.4,32.9
E01000944,Camden 023A,934,69.9,6.6,17.7,31300,28.2,30.3,2.3,20.2
E01000945,Camden 023B,900,77.1,8,25.7,36046,36.5,39.3,5.1,32.1
E01000949,Camden 023C,363,73.9,5.2,13.8,38631,44.8,10.7,1.7,30.6
E01000950,Camden 023D,395,73.5,7.3,30.7,26736,34.9,17.5,1.4,22.3
E01000951,Camden 023E,478,72.1,7.2,21.7,28780,38.1,16.9,1.8,27.8
E01000936,Camden 024A,816,66.6,6.9,24.8,37557,36.2,25.7,3.8,42.3
E01000938,Camden 024B,676,81,8,31.1,34786,41.4,39.1,4.2,39.1
E01000939,Camden 024C,380,74.2,8,29.1,31142,35,20.4,1.1,23.8
E01000940,Camden 024D,327,78.8,8,27,37179,47.4,22.3,6.8,46
E01000853,Camden 025A,366,83.3,8,21.1,38170,55.8,17.7,2.8,37.5
E01000937,Camden 025B,818,86.3,7.6,26.1,37175,59,51.4,10.7,47.8
E01000941,Camden 025C,273,75,8,21.7,30996,43.4,11.1,0.9,28.1
E01000942,Camden 025D,1368,82.8,8,20,42365,55.5,43.6,9.9,34.7
E01000943,Camden 025E,385,84.7,8,23.7,41772,60.2,45.3,13.2,56.7
E01000850,Camden 026A,725,75.3,8,17,58445,48.8,52.9,10.1,57.8
E01000851,Camden 026B,1377,75.8,8,21.8,49285,49.1,54.1,11,38.8
E01000852,Camden 026C,964,83.7,8,26.9,43186,62.1,47.5,21.4,39.8
E01000854,Camden 026D,887,78.6,8,26.2,38713,43.2,38,5.4,40.8
E01000915,Camden 027A,365,70.2,8,18.4,37749,38.9,21.7,2.6,37.5
E01000916,Camden 027B,555,76.3,8,19,44967,44.5,30.6,6.7,52.4
E01000917,Camden 027C,404,78.1,8,24,33060,50.2,13.9,3,33.4
E01000920,Camden 027D,526,69.1,7.5,16.6,50104,43.2,40.5,6,53.3
E01000855,Camden 028A,595,81.3,7.9,15.1,46663,67.5,42.2,14.5,64.5
E01000914,Camden 028B,621,73.5,8,17.8,50593,49.8,46.4,12.3,57.5
E01000918,Camden 028C,656,77.6,8,16.1,45820,51.6,30.8,8.3,46.3
E01000919,Camden 028D,787,76.6,8,16.5,47265,52,37.4,9.6,40.8
E01000001,City of London 001A,216,59.2,8,9.7,74846,51.7,30.1,13.4,77.6
E01000002,City of London 001B,153,58,8,6.7,73325,50.4,26.4,15,79.2
E01000003,City of London 001C,288,80.2,7.3,9.3,44130,62.1,21.7,7.9,56.8
E01000005,City of London 001E,254,76.2,8,22.1,30781,48.8,21.6,11.6,34.5
E01032739,City of London 001F,374,76.3,7.9,20.7,68022,60.5,57.2,36.6,73.6
E01032740,City of London 001G,380,71.8,8,13.9,67266,63.6,59.1,32.2,78.2
E01001808,Hackney 001A,500,59.9,5.8,24,45004,26.9,60,4.1,20.8
E01001809,Hackney 001B,422,61.1,5.6,20,41919,30.3,41,4.7,24.7
E01001814,Hackney 001C,393,57.1,5.6,21.6,40803,27.2,37.4,3.5,30.9
E01001823,Hackney 001D,396,50,2.3,20.1,40170,27.3,29.6,1.6,22.6
E01001825,Hackney 001E,339,50.5,3.7,15.4,49614,22,48.8,1.8,16.1
E01001714,Hackney 002A,409,67.9,6.5,30.4,32103,35.9,19.6,2.2,31.5
E01001811,Hackney 002D,321,68,4.5,27.1,26507,39,16.6,6.9,19.4
E01001813,Hackney 002E,330,73,6.5,28.2,26073,35.8,20.6,7.7,26.1
E01033701,Hackney 002F,456,70.3,6.1,26.7,26621,36.6,17.9,22,26.3
E01001799,Hackney 003A,377,58.8,4,10.7,51426,24.5,43.5,2.6,34.3
E01001802,Hackney 003B,275,62,3.3,16.1,37280,34.8,24.4,6,30.6
E01001804,Hackney 003C,335,57.1,2.7,17.7,46895,22,39,2.9,32.1
E01001807,Hackney 003D,432,60.6,4.3,18.6,39664,35.8,33.2,3.5,33.5
E01001812,Hackney 003E,454,64.2,3.4,14.7,39107,33.4,30.3,6.3,32.3
E01001725,Hackney 004A,362,56,4.8,20.2,45068,26.9,39.4,1.4,28.4
E01001726,Hackney 004B,308,63.1,5.6,25.6,31865,23.7,24.8,0.4,24.3
E01001800,Hackney 004C,400,71.4,5.1,22.4,33116,41.5,26.3,1.1,24.2
E01001824,Hackney 004D,297,62.2,3,24.3,33436,31,25.2,2.5,21.2
E01001826,Hackney 004E,377,67.5,4.2,23.2,35073,31.3,35,2,21.3
E01001723,Hackney 006A,554,59.3,5.2,17.7,50735,27.1,44.3,3.3,43.7
E01001724,Hackney 006B,682,69.9,6,21,44067,39.4,46,2.2,52.7
E01001727,Hackney 006C,409,52,3.5,12.4,51902,24.4,40.5,5,36.8
E01001768,Hackney 006D,507,52.9,5.5,13.5,49415,26.8,36.3,2.8,51.1
E01001769,Hackney 006E,416,58.9,6,14,47800,34.4,31.1,2.8,48.2
E01001715,Hackney 007A,444,69.4,7,20.2,54586,40.7,55.3,4.3,64.9
E01001716,Hackney 007B,438,70.5,7.3,22.9,36977,45.8,37.6,1.7,48.5
E01001717,Hackney 007C,364,43.3,4.3,15.5,50050,23,23,1.6,46.9
E01001718,Hackney 007D,689,64,7.5,17.6,63800,34.5,55.6,4.2,68.2
E01001719,Hackney 007E,276,67.8,4.5,22.1,35310,34.3,21.7,4.2,38.5
E01001720,Hackney 007F,629,61,5.3,11.2,62980,32.6,50.1,3,65.9
E01001742,Hackney 008A,400,61.7,3.1,11.8,43727,34.9,18.8,2.4,47.6
E01001801,Hackney 008B,335,59.4,2.7,12.9,40916,37.9,21.3,2,34.2
E01001803,Hackney 008C,370,53,3.1,14.2,58259,30.2,36,1.5,55.4
E01001806,Hackney 008D,351,58.5,3.3,11.9,45524,37.1,21.8,1.1,50.7
E01001741,Hackney 009A,315,47.9,3.7,8,67264,28.5,25.9,1.8,61.8
E01001805,Hackney 009B,390,58.8,5.6,17.6,52676,31.4,45.1,1.4,55.2
E01001829,Hackney 009C,371,48,5.1,7.3,71347,26.9,28.6,2.7,62.5
E01001831,Hackney 009D,479,64.4,6.5,17.2,48529,33,42.6,3,51.7
E01001832,Hackney 009E,478,56.1,5.9,13.2,47935,31.8,36.4,3.5,51.2
E01001764,Hackney 010A,453,59.5,5.3,17.7,37717,36.4,25,5,43.2
E01001765,Hackney 010B,380,67,4.2,19,28077,45,8.9,6,24.1
E01001767,Hackney 010D,430,59.6,5.2,18.6,41595,28.2,34.7,3.4,45.8
E01001770,Hackney 010E,438,68.6,6.4,21.8,31997,42.3,22.4,3.4,34
E01033703,Hackney 010F,417,74.2,6.2,22.1,33368,41.4,43,2.6,42.4
E01033713,Hackney 010G,342,71.4,5.3,18.1,36756,39.4,37.3,2.3,48.2
E01001792,Hackney 011A,417,51.6,5.6,16.3,40559,29,22.6,2.4,41.6
E01001793,Hackney 011B,434,56.4,4.1,14.9,42613,30.5,30.9,2.7,47.7
E01001794,Hackney 011C,479,50.9,5.7,20.7,49704,27.7,31.9,2.5,42.6
E01001795,Hackney 011D,423,60.4,5.3,15.4,45249,31.7,41.7,2.4,50.9
E01001796,Hackney 011E,463,66.4,4.2,22.5,37092,42.3,42.2,3.5,45
E01001736,Hackney 012A,406,57.6,3.4,12.6,56446,32.7,31.8,3.4,55.9
E01001737,Hackney 012B,422,51.3,3.2,8.5,63175,28.1,27.2,4.8,59.7
E01001738,Hackney 012C,446,61.5,4,15,54143,35.7,33.4,2.5,54.7
E01001739,Hackney 012D,499,57.6,4,10.4,60421,33.3,27.1,4,58.4
E01001786,Hackney 013A,377,61.6,3.3,21.8,29344,35,11.7,1.6,23.9
E01001787,Hackney 013B,305,60.7,2.1,17.4,27439,36.3,8.9,1.1,19.6
E01001788,Hackney 013C,302,67.9,2,17.2,28896,42.1,16,0.9,25.5
E01001790,Hackney 013D,266,64.6,3,23.4,28106,30.1,14.2,1.6,25.8
E01001740,Hackney 014A,366,70.5,4.3,21,31293,31.7,14.3,1.6,33.2
E01001747,Hackney 014B,657,67.9,6.3,20.7,43073,32.7,41.4,2.6,48.8
E01001830,Hackney 014C,467,73.5,5.2,17.4,35006,44.5,26.6,1.9,39.7
E01001833,Hackney 014D,604,66.5,4.6,18.4,40747,34.7,28.8,2,49.7
E01001834,Hackney 014E,639,65.9,4.8,16.9,46737,29.9,39.9,1.7,57.2
E01001835,Hackney 014F,323,55.1,5,8.9,57176,25.5,25.7,2.8,57.9
E01001733,Hackney 015A,479,57.6,4.4,18,42268,31.5,33.2,2,46.6
E01001785,Hackney 015B,378,56.9,4.1,15.1,36957,27.6,22.1,2.9,40.5
E01001789,Hackney 015C,443,55,2.6,13.3,43375,29.1,23.8,2,44.5
E01001791,Hackney 015D,395,50.6,3,14.6,34921,22.4,13.8,1,31.5
E01001745,Hackney 016A,613,72.7,4.6,19.7,32725,36.1,27.2,1.2,39.2
E01001746,Hackney 016B,335,62.3,4,23.7,31014,27.8,9.2,0.6,27.9
E01001757,Hackney 016C,406,68,6.8,20.6,30539,26.8,14.7,1.7,29
E01001758,Hackney 016D,506,72.6,7,19.9,32622,36.3,23.1,3,37.8
E01001759,Hackney 016E,491,68.8,6.5,11.5,37396,35.7,24.4,2.3,44.4
E01001761,Hackney 016F,474,71,7,15.3,34661,46.4,21.4,2.7,40.5
E01001731,Hackney 017A,691,72.1,6.7,18.2,34018,42.3,27.7,3.9,43.2
E01001734,Hackney 017B,537,73.9,6.8,17.7,37231,40,46.2,1.8,47
E01001760,Hackney 017C,513,73.7,7.3,17.6,36317,32.4,40,2.4,40.3
E01001762,Hackney 017D,608,68.4,6.7,10.6,43690,37,39.8,3,53.3
E01001846,Hackney 018A,263,56.3,3.9,12.3,32377,39.8,15.5,1.3,27
E01001847,Hackney 018B,253,61.5,4.1,11.8,31644,34.3,22.7,2.7,30
E01001848,Hackney 018C,394,57.6,3.8,11.1,35905,38.3,20.3,1.9,38.2
E01001849,Hackney 018D,676,57.4,4,15.4,35099,33.5,34.1,1.9,41.1
E01001729,Hackney 019A,499,70.7,5,16.3,29303,38.8,16.6,1.4,30.7
E01001730,Hackney 019B,401,73.3,5.3,21.8,27966,38,14.7,2.1,23.6
E01001732,Hackney 019C,388,69.1,5.5,21.4,28386,33.2,12.5,0.7,26.9
E01001735,Hackney 019D,365,60.5,6.5,11.5,38346,31.6,17.9,3.2,42.5
E01001838,Hackney 019E,366,72.6,5.9,19.6,26860,35.2,7.4,0.6,22.9
E01001850,Hackney 019F,382,67.3,4.1,18.8,27252,30.2,13.6,1.7,21.7
E01001748,Hackney 020A,774,73,6.8,14.6,43470,40.8,39.5,3.1,54.1
E01001749,Hackney 020B,446,60.6,6.4,7.1,56687,32.8,27.6,1.8,62
E01001763,Hackney 020C,387,65.8,5.8,11.2,43215,37.9,24.4,1.3,47.5
E01001816,Hackney 020D,380,53.4,3.6,10.2,47390,28.4,17.8,0.9,47.4
E01001819,Hackney 020E,382,54.2,4.6,6.7,54554,33.8,18,1.6,49.5
E01001744,Hackney 021B,522,58.4,6.3,14,40735,33.5,20,2.6,42.9
E01001750,Hackney 021C,557,63.7,5.1,14.8,44880,30.4,27.7,1.6,47.5
E01001751,Hackney 021D,434,44.8,5.5,4.1,80912,29,34.8,1.5,69.9
E01001756,Hackney 021E,769,61.8,6.8,10.2,55962,34.5,44.6,1,60.2
E01033698,Hackney 021F,327,71,5.2,17.1,31649,47.8,21.2,1.9,34.2
E01033699,Hackney 021G,455,75.9,6.5,18.5,42997,39.1,53.2,4.4,52.5
E01033700,Hackney 021H,581,78,6.9,16.4,47563,35,53.8,4.9,58.4
E01033707,Hackney 021I,451,70,5.4,20.8,36485,41,49,2.8,47.8
E01001836,Hackney 022A,402,59.5,3,11.6,44368,39.2,22.5,1.4,42
E01001840,Hackney 022B,372,64.2,4.7,15.5,32663,40.1,11,0.7,32.5
E01001841,Hackney 022C,316,56.7,2.8,7,44879,40.9,14.5,2.2,41.5
E01001844,Hackney 022D,691,56.8,4.2,12.2,50505,39.5,24.4,3.4,45.9
E01001845,Hackney 022E,353,67.8,3.4,12.8,31426,40.6,9.1,1.3,26.6
E01001837,Hackney 023B,311,51.1,4.8,6.8,61976,32.9,26.8,1.3,58.9
E01001839,Hackney 023C,796,73.2,6.4,17.3,39746,30.8,42.7,1.5,51.3
E01001842,Hackney 023D,376,62.9,5.3,15.2,34891,30.6,14.4,0.9,37.7
E01001843,Hackney 023E,270,50.2,3.7,7.8,48926,30.5,14.7,3.3,43.7
E01033704,Hackney 023F,515,68,6.8,14.3,53118,33.6,42.9,2.1,64.4
E01033712,Hackney 023G,502,66.7,5.6,16.2,37691,30.9,34,1.5,53.9
E01001772,Hackney 024A,232,67.5,5,20,28755,41.8,9.2,0.4,28.8
E01001774,Hackney 024B,714,68.3,5,15.9,37147,28.3,33.7,0.9,47.9
E01001775,Hackney 024C,479,69.6,3.9,21.1,29838,39.5,15,1.6,31.4
E01001815,Hackney 024D,427,59,4,14.6,32286,37.6,13.9,2,35.4
E01001820,Hackney 024E,392,60.6,3.9,13.4,33488,34.4,12.9,1.6,33.2
E01001821,Hackney 024F,376,70.2,4.1,13.7,30217,40.8,11.8,0.8,31.2
E01001752,Hackney 025A,752,68.4,3.9,13.5,49006,32.5,29.3,1.4,57.3
E01001753,Hackney 025B,348,68.4,3.7,22.6,30629,34.9,12.7,0.6,30.9
E01001754,Hackney 025C,670,68.7,4.7,15.6,36664,40.9,34.4,1.7,44.2
E01001755,Hackney 025D,526,68.5,4.3,20.2,32702,33.4,17.3,2,32.2
E01001773,Hackney 025E,613,69.9,5.2,18.1,34393,32.3,26.9,1,40.9
E01001776,Hackney 025F,410,71,5.4,19.6,29431,40.9,14.7,0.6,31.4
E01001779,Hackney 026A,682,70.7,6,21.7,36204,42.5,20.7,1.2,44.2
E01001781,Hackney 026B,573,75.2,5.2,21.6,27691,37.9,19.2,0.8,29.8
E01001782,Hackney 026C,694,62.5,3.5,17.3,49492,36,31.9,2.6,51.4
E01001783,Hackney 026D,582,74.7,5.8,24.4,29561,38.1,13.9,0.8,30.6
E01001777,Hackney 027B,796,77.5,6,25.2,34459,35.1,38,1.7,43.8
E01001780,Hackney 027D,525,76.2,7.2,16.7,34870,45.1,20.5,1.1,41
E01001784,Hackney 027E,993,73.7,5.9,20.5,32734,33.2,22.6,1,32.4
E01033706,Hackney 027F,716,72.3,7.4,21.3,59167,37.7,62,3.4,65
E01033708,Hackney 027G,742,76.2,7.9,20.3,67564,48.1,72.2,4.5,67.5
E01033709,Hackney 027H,641,79.7,6.7,21.3,41339,44.2,28.9,2,49.4
E01033711,Hackney 027I,596,77.4,7,16,48804,44.1,48.1,1.6,58
E01001798,Hackney 028A,412,66.7,4.3,21.6,30690,36.2,28.2,3.7,28.1
E01001828,Hackney 028B,436,63.4,2.5,21.7,31299,35.9,18.8,2.5,29.5
E01033702,Hackney 028C,279,57.9,2.1,25.2,33920,33.8,31.5,5.3,38.1
E01033705,Hackney 028D,392,62,3.3,19.3,34055,33.9,27.3,1.5,34.3
E01033710,Hackney 028E,322,67.5,2.7,26.3,35600,37,61.1,2.2,43.5
E01001722,Hackney 029A,432,66.7,4.3,20,34402,40.1,25.7,1.3,33.9
E01001728,Hackney 029B,560,63,4,20.4,36197,18.7,35.4,2.5,16.8
E01001822,Hackney 029C,433,70.8,3.9,27.1,30213,38.5,26.9,2.4,21.5
E01001827,Hackney 029D,390,63.1,3.2,20,32348,39.8,23,3.6,18.4
E01001874,Hammersmith and Fulham 001A,587,68.2,5.5,18,38584,47.3,22.6,1.3,38.3
E01001875,Hammersmith and Fulham 001B,417,58.3,5.9,20.9,33879,25.8,17.1,2.3,24.1
E01001876,Hammersmith and Fulham 001C,532,67.6,3.5,35.6,34194,42.8,9.7,3.5,38.1
E01001877,Hammersmith and Fulham 001D,271,61.4,3.5,24.2,37387,43.6,29.5,9.3,33.2
E01001878,Hammersmith and Fulham 001E,364,55.9,5.9,17,34743,20.2,13.6,1.6,21.6
E01001955,Hammersmith and Fulham 002A,420,60.4,2.6,20.5,31822,26,15.1,1,24.6
E01001957,Hammersmith and Fulham 002B,394,68.1,3.1,27.1,25662,26.8,15,1.3,20.1
E01001958,Hammersmith and Fulham 002C,374,67.3,2.8,28.2,24216,29,10.3,0.5,20.3
E01001961,Hammersmith and Fulham 002D,339,69.8,2.8,28.5,25056,24.1,14.8,0.7,22.8
E01001954,Hammersmith and Fulham 003A,341,53.3,3.7,14.3,42863,34.5,19,3,42
E01001956,Hammersmith and Fulham 003B,370,49.3,3.6,15.3,45843,26.9,18.2,3.1,39.2
E01001959,Hammersmith and Fulham 003C,436,45.7,3.1,15.3,37153,24.5,12.4,2.2,27.4
E01001960,Hammersmith and Fulham 003D,616,53.5,4,11.3,49994,27.9,39.1,3.7,52.9
E01001943,Hammersmith and Fulham 004A,662,67.1,7.5,19.4,43008,42.4,41.3,6.4,47.3
E01001944,Hammersmith and Fulham 004B,360,73.5,5.8,24.2,28102,53.2,12.3,1,30.5
E01001945,Hammersmith and Fulham 004C,444,55.6,4.7,16.8,46868,35.5,29,4.9,48.3
E01001946,Hammersmith and Fulham 004D,448,59.7,4.8,15.8,44528,35.2,31.6,2.8,49.1
E01001862,Hammersmith and Fulham 005A,442,60.6,4.1,17.2,41548,41.7,25.4,4.6,41.5
E01001940,Hammersmith and Fulham 005B,481,67.6,4.6,18.9,39872,39.9,36.6,3.9,43.7
E01001941,Hammersmith and Fulham 005C,630,66.9,6.7,17.7,46235,33.5,51.9,3.8,56.5
E01001942,Hammersmith and Fulham 005D,528,59.2,4.6,19.2,47214,41,42.4,3.8,48.3
E01001858,Hammersmith and Fulham 006A,538,58.9,3.7,15.2,42419,41.5,30.1,1.6,40.9
E01001860,Hammersmith and Fulham 006B,496,64.8,4.1,20,36934,41.9,31.9,2.5,39.2
E01001861,Hammersmith and Fulham 006C,352,58.4,3.9,21.7,42712,37.5,28.1,5.1,42
E01001863,Hammersmith and Fulham 006D,382,50.2,3.7,12.2,54941,34.7,28.2,2.3,50.7
E01001864,Hammersmith and Fulham 006E,373,58.6,4,16.2,47890,43.8,36.7,2.8,46.4
E01001852,Hammersmith and Fulham 007A,545,60.6,6.9,16.9,55246,44.5,44.2,3.5,65
E01001853,Hammersmith and Fulham 007B,367,52.1,6.4,15.7,64332,37,39.4,1.6,64.3
E01001854,Hammersmith and Fulham 007C,479,66.7,7.2,18.4,47613,44.9,39.6,2.4,55.8
